2014-05-06 04:52:22 [error] Severity: Warning  --> file_put_contents(E:\0_Projects\dv\dv\application\cache\autoload.cache.php): failed to open stream: No such file or directory E:\0_Projects\dv\dv\system\KAutoload.class.php 41
2014-05-06 04:58:09 [error] Severity: Warning  --> file_put_contents(E:\0_Projects\dv\dv\application\cache\autoload.cache.php): failed to open stream: No such file or directory E:\0_Projects\dv\dv\system\KAutoload.class.php 41
2014-05-06 04:58:10 [error] Severity: Warning  --> file_put_contents(E:\0_Projects\dv\dv\application\cache\autoload.cache.php): failed to open stream: No such file or directory E:\0_Projects\dv\dv\system\KAutoload.class.php 41
2014-05-06 04:58:10 [error] Severity: Warning  --> file_put_contents(E:\0_Projects\dv\dv\application\cache\autoload.cache.php): failed to open stream: No such file or directory E:\0_Projects\dv\dv\system\KAutoload.class.php 41
2014-05-06 04:58:10 [error] Severity: Warning  --> file_put_contents(E:\0_Projects\dv\dv\application\cache\autoload.cache.php): failed to open stream: No such file or directory E:\0_Projects\dv\dv\system\KAutoload.class.php 41
2014-05-06 05:21:25 [error] Severity: Warning  --> array_shift() expects parameter 1 to be array, string given E:\0_Projects\dv\dv\system\KDispatcher.class.php 37
2014-05-06 05:21:52 [error] Severity: Warning  --> array_shift() expects parameter 1 to be array, string given E:\0_Projects\dv\dv\system\KDispatcher.class.php 40
2014-05-06 05:21:53 [error] Severity: Warning  --> array_shift() expects parameter 1 to be array, string given E:\0_Projects\dv\dv\system\KDispatcher.class.php 40
2014-05-06 05:21:53 [error] Severity: Warning  --> array_shift() expects parameter 1 to be array, string given E:\0_Projects\dv\dv\system\KDispatcher.class.php 40
2014-05-06 05:21:53 [error] Severity: Warning  --> array_shift() expects parameter 1 to be array, string given E:\0_Projects\dv\dv\system\KDispatcher.class.php 40
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'css' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'js' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:15 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:17 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'css' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:17 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:17 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:17 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'js' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:17 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:17 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'css' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'js' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'css' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'js' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:18 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:00:22 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:06 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:06 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:06 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:06 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:06 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'php' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'img' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
2014-05-06 06:04:07 [error] Severity: Warning  --> call_user_func_array() expects parameter 1 to be a valid callback, class 'User' does not have a method 'faviconico' E:\0_Projects\dv\dv\system\KDispatcher.class.php 62
